row,name,code,tweet,follow
567,科新机电,300092,3004.0,8207.0
568,金通灵,300091,1307.0,7386.0
569,盛运环保,300090,4428.0,11496.0
570,文化长城,300089,2532.0,7664.0
571,长信科技,300088,9989.0,39225.0
572,荃银高科,300087,1947.0,7712.0
573,康芝药业,300086,3980.0,10837.0
574,银之杰,300085,16523.0,33070.0
575,海默科技,300084,3330.0,9365.0
576,劲胜智能,300083,5957.0,21242.0
577,奥克股份,300082,3159.0,13675.0
578,恒信东方,300081,6297.0,19370.0
579,易成新能,300080,3473.0,10139.0
580,数码视讯,300079,28187.0,165545.0
581,思创医惠,300078,5878.0,20910.0
582,国民技术,300077,8845.0,39177.0
583,GQY视讯,300076,5556.0,13289.0
584,数字政通,300075,11792.0,31823.0
585,华平股份,300074,6820.0,17836.0
586,当升科技,300073,11704.0,29355.0
587,三聚环保,300072,51396.0,89159.0
588,华谊嘉信,300071,2424.0,7372.0
589,碧水源,300070,15725.0,66874.0
590,金利华电,300069,1822.0,4040.0
591,南都电源,300068,5440.0,53442.0
592,安诺其,300067,4774.0,10806.0
593,三川智慧,300066,5707.0,14431.0
594,海兰信,300065,3503.0,13791.0
595,豫金刚石,300064,1914.0,6461.0
596,天龙集团,300063,3528.0,10041.0
597,中能电气,300062,1752.0,4441.0
598,康耐特,300061,4078.0,20719.0
599,东方财富,300059,45714.0,287373.0
600,蓝色光标,300058,28106.0,117328.0
601,万顺股份,300057,1791.0,13418.0
602,三维丝,300056,4986.0,12458.0
603,万邦达,300055,10116.0,30126.0
604,鼎龙股份,300054,6953.0,38338.0
605,欧比特,300053,7700.0,78963.0
606,中青宝,300052,12390.0,30469.0
607,三五互联,300051,4378.0,18171.0
608,世纪鼎利,300050,4650.0,20235.0
609,福瑞股份,300049,6862.0,14495.0
610,合康新能,300048,3840.0,12325.0
611,天源迪科,300047,6537.0,104741.0
612,台基股份,300046,1440.0,3629.0
613,华力创通,300045,4516.0,21774.0
614,赛为智能,300044,9901.0,30422.0
615,星辉娱乐,300043,8246.0,17221.0
616,朗科科技,300042,2773.0,8506.0
617,回天新材,300041,3272.0,9269.0
618,九洲电气,300040,5376.0,10809.0
619,上海凯宝,300039,6980.0,18823.0
620,梅泰诺,300038,4876.0,13675.0
621,新宙邦,300037,8070.0,19649.0
622,超图软件,300036,8883.0,43529.0
623,中科电气,300035,2595.0,20146.0
624,钢研高纳,300034,4053.0,21342.0
625,同花顺,300033,32434.0,301849.0
626,金龙机电,300032,16423.0,57524.0
627,宝通科技,300031,2084.0,5683.0
628,阳普医疗,300030,3351.0,13913.0
629,天龙光电,300029,5288.0,58742.0
630,金亚科技,300028,12943.0,31473.0
631,华谊兄弟,300027,52103.0,199151.0
632,红日药业,300026,7638.0,19470.0
633,华星创业,300025,5412.0,15747.0
634,机器人,300024,25551.0,121872.0
635,宝德股份,300023,5460.0,12398.0
636,吉峰农机,300022,4547.0,13377.0
637,大禹节水,300021,4034.0,11370.0
638,银江股份,300020,8798.0,23048.0
639,硅宝科技,300019,2230.0,7010.0
640,中元股份,300018,2952.0,8400.0
641,网宿科技,300017,32928.0,151484.0
642,北陆药业,300016,6464.0,14843.0
643,爱尔眼科,300015,15562.0,59244.0
644,亿纬锂能,300014,10410.0,50412.0
645,新宁物流,300013,4554.0,31740.0
646,华测检测,300012,4887.0,49807.0
647,鼎汉技术,300011,3599.0,17448.0
648,立思辰,300010,6224.0,17638.0
649,安科生物,300009,8360.0,22573.0
650,天海防务,300008,2332.0,12568.0
651,汉威科技,300007,5206.0,17423.0
652,莱美药业,300006,5659.0,12513.0
653,探路者,300005,14468.0,34111.0
654,南风股份,300004,3025.0,10003.0
655,乐普医疗,300003,7959.0,29726.0
656,神州泰岳,300002,5321.0,17126.0
657,特锐德,300001,8376.0,21027.0
658,沃特股份,002886,345.0,936.0
659,京泉华,002885,481.0,1292.0
660,凌霄泵业,002884,265.0,560.0
661,中设股份,002883,278.0,986.0
662,美格智能,002881,381.0,1224.0
663,卫光生物,002880,985.0,4963.0
664,长缆科技,002879,230.0,1089.0
665,元隆雅图,002878,289.0,1063.0
666,智能自控,002877,788.0,1969.0
667,三利谱,002876,1439.0,4589.0
668,安奈儿,002875,851.0,2094.0
669,新天药业,002873,631.0,1311.0
670,天圣制药,002872,547.0,1728.0
671,伟隆股份,002871,1106.0,2079.0
672,香山股份,002870,464.0,1447.0
